Company Name,Salary
CloudPeak Analytics,91812
BinaryBrains,42103
CloudPeak Analytics,62467
NeuralNet Systems,97349
Innovatech Solutions,44837
Innovatech Solutions,95577
DataDriven Dynamics,50255
CloudPeak Analytics,80097
NeuralNet Systems,90138
Streamline Studios,66691
Innovatech Solutions,60671
CodeCrafters LLC,82795
BinaryBrains,52150
CloudPeak Analytics,61887
TechTrendz,81796
Virtuality Ventures,26048
TechTrendz,63012
TechSphere Inc.,57420
CloudPeak Analytics,45721
QuantumSoft,66040
CloudPeak Analytics,51935
Futuristix,45704
TechTrendz,27799
NextGen Tech,33516
CodeCrafters LLC,64128
Innovatech Solutions,40578
DataDriven Dynamics,22115
NeuralNet Systems,71521
Innovatech Solutions,73234
DataDriven Dynamics,68452
Virtuality Ventures,61724
Virtuality Ventures,57003
DataDriven Dynamics,41652
Futuristix,61976
CyberNext Corp.,65388
Virtuality Ventures,43124
TechTrendz,86839
BinaryBrains,61734
Innovatech Solutions,50157
TechSphere Inc.,54853
CyberNext Corp.,84065
PixelPioneers,26196
TechTrendz,92720
NeuralNet Systems,43752
NeuralNet Systems,65480
CloudPeak Analytics,82670
PixelPioneers,80134
Streamline Studios,36608
NextGen Tech,88855
Futuristix,71925
Innovatech Solutions,36467
Innovatech Solutions,28074
Streamline Studios,71797
CyberNext Corp.,93310
PixelPioneers,95103
QuantumSoft,55291
NeuralNet Systems,84392
CodeCrafters LLC,76880
CodeCrafters LLC,84464
Futuristix,41532
Innovatech Solutions,68128
DataDriven Dynamics,25148
Virtuality Ventures,28460
Innovatech Solutions,40556
PixelPioneers,66645
NeuralNet Systems,72722
PixelPioneers,96754
Futuristix,81397
TechTrendz,41210
BinaryBrains,27026
TechTrendz,63096
Innovatech Solutions,31183
Virtuality Ventures,53408
NeuralNet Systems,87929
Innovatech Solutions,79851
BinaryBrains,22168
BinaryBrains,89813
Virtuality Ventures,53820
NeuralNet Systems,64519
QuantumSoft,89763
CodeCrafters LLC,68420
CodeCrafters LLC,72827
DataDriven Dynamics,91682
QuantumSoft,61328
Futuristix,37411
TechSphere Inc.,42883
BinaryBrains,20622
BinaryBrains,81329
TechTrendz,89028
NextGen Tech,32120
CloudPeak Analytics,94043
PixelPioneers,76143
QuantumSoft,88754
DataDriven Dynamics,31269
TechSphere Inc.,30063
CodeCrafters LLC,34127
TechTrendz,66032
PixelPioneers,50785
Virtuality Ventures,77998
Streamline Studios,70033
